SUMMARY,DTSTART,DTEND,SUNRISE,SUNSET,MOONRISE,MOONSET,MONTH,WEEKDAY,PAKSHA,TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,SUNSIGN,MOONSIGN,RAHU KALAM,GULIKAI KALAM,YAMAGANDA,ABHIJIT,DUR MUHURATHAM,AMRIT KALAM,FESTIVALS,EMPTY,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,,,
"Margashirsha, Ekadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/01/19,01/02/19,7:16 AM,6:08 PM,"Moonrise - 03:46 AM, Jan 02",Moonset - 02:43 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha,Weekday - Mangalawara,Paksha - Krishna Paksha,Tithi - Ekadashi ,1:28 AM,None,None,Nakshatra - Swati ,08:45AM,None,None,Yoga - Dhriti ,2:43 AM,None,None,Karana - Bava ,1:18 PM,Karana - Balava ,1:28 AM,None,None,Sunsign - Dhanu,"Moonsign - Tula upto 03:24 AM, Jan 02",Rahu Kalam - 03:25 PM to 04:47 PM,Gulikai Kalam - 12:42 PM to 02:04 PM,Yamaganda - 09:59 AM to 11:20 AM,Abhijit - 12:20 PM to 01:04 PM,Dur Muhurtam - 09:26 AM to 10:10 AM,"Dur Muhurtam - 11:23 PM to 12:16 AM, Jan 02","Amrit Kalam - 12:32 AM, Jan 02 to 02:12 AM, Jan 02Varjyam - 02:34 PM to 04:13 PM",Day Festivals and Events - Saphala Ekadashi goo.gl/UA5Crz,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),32d91ffa24015ec7c3fd1582463409d6@ical.drikpanchang.com,,
"Margashirsha, Dwadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/02/19,01/03/19,7:16 AM,6:09 PM,"Moonrise - 04:40 AM, Jan 03",Moonset - 03:26 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha,Weekday - Budhawara,Paksha - Krishna Paksha,Tithi - Dwadashi ,2:10 AM,None,None,Nakshatra - Vishakha ,9:40 AM,None,None,Yoga - Shula ,2:05 AM,None,None,Karana - Kaulava ,1:46 PM,Karana - Taitila ,2:10 AM,None,None,Sunsign - Dhanu,Moonsign - Vrishchika,Rahu Kalam - 12:42 PM to 02:04 PM,Gulikai Kalam - 11:21 AM to 12:42 PM,Yamaganda - 08:38 AM to 09:59 AM,Abhijit - None,Dur Muhurtam - 12:21 PM to 01:04 PM,"Amrit Kalam - 12:04 AM, Jan 03 to 01:45 AM, Jan 03Varjyam - 01:54 PM to 03:36 PM",Day Festivals and Events - Saphala Ekadashi Parana goo.gl/UA5Crz,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),664adb41b1417dba20c06f14f9ba6116@ical.drikpanchang.com,,,
"Margashirsha, Trayodashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/03/19,01/04/19,7:16 AM,6:09 PM,"Moonrise - 05:33 AM, Jan 04",Moonset - 04:10 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha,Weekday - Guruwara,Paksha - Krishna Paksha,Tithi - Trayodashi ,3:21 AM,None,None,Nakshatra - Anuradha ,11:04 AM,None,None,Yoga - Ganda ,1:49 AM,None,None,Karana - Garaja ,2:42 PM,Karana - Vanija ,3:21 AM,None,None,Sunsign - Dhanu,Moonsign - Vrishchika,Rahu Kalam - 02:05 PM to 03:26 PM,Gulikai Kalam - 10:00 AM to 11:21 AM,Yamaganda - 07:16 AM to 08:38 AM,Abhijit - 12:21 PM to 01:05 PM,Dur Muhurtam - 10:54 AM to 11:38 AM,Dur Muhurtam - 03:15 PM to 03:59 PM,"Amrit Kalam - 03:26 AM, Jan 04 to 05:09 AM, Jan 04Varjyam - 05:06 PM to 06:49 PM",Day Festivals and Events - Pradosh Vrat,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),baad8cafee3d95a4a2cedcc2a303e545@ical.drikpanchang.com,,
"Margashirsha, Chaturdashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/04/19,01/05/19,7:17 AM,6:10 PM,"Moonrise - 06:25 AM, Jan 05",Moonset - 04:57 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha,Weekday - Shukrawara,Paksha - Krishna Paksha,Tithi - Chaturdashi ,4:58 AM,None,None,Nakshatra - Jyeshtha ,12:54 PM,None,None,Yoga - Vriddhi ,1:52 AM,None,None,Karana - Vishti ,4:06 PM,Karana - Shakuni ,4:58 AM,None,None,Sunsign - Dhanu,"Moonsign -Vrishchika upto 12:54 PM""",Rahu Kalam - 11:22 AM to 12:43 PM,Gulikai Kalam - 08:38 AM to 10:00 AM,Yamaganda - 03:27 PM to 04:48 PM,Abhijit - 12:22 PM to 01:05 PM,Dur Muhurtam - 09:27 AM to 10:11 AM,Dur Muhurtam - 01:05 PM to 01:49 PMVarjyam - 09:39 PM to 11:24 PM,Day Festivals and Events- Masik Shivaratri,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),7234993ee5fc806efd21e028ff0ea729@ical.drikpanchang.com,,,,
"Margashirsha, Amavasya Krishna Paksha, 1940 Vilambi Shaka Samvata",01/05/19,01/06/19,7:17 AM,6:11 PM,"Moonrise - 07:15 AM, Jan 06",Moonset - 05:46 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha,Weekday - Shaniwara,Paksha - Krishna Paksha,Tithi - Amavasya ,6:58 AM,None,None,Nakshatra - Mula ,3:08 PM,None,None,Yoga - Dhruva ,2:14 AM,None,None,Karana - Chatushpada ,5:55 PM,Karana - Nagava ,6:58 AM,None,None,Sunsign - Dhanu,Moonsign - Dhanu,Rahu Kalam - 10:00 AM to 11:22 AM,Gulikai Kalam - 07:17 AM to 08:39 AM,Yamaganda - 02:06 PM to 03:27 PM,Abhijit - 12:22 PM to 01:06 PM,Dur Muhurtam - 07:17 AM to 08:00 AM,Dur Muhurtam - 08:00 AM to 08:44 AM,"Amrit Kalam - 08:08 AM to 09:53 AMVarjyam - 01:23 PM to 03:08 PMVarjyam - 01:46 AM, Jan 06 to 03:33 AM, Jan 06",Day Festivals and Events - Margashirsha AmavasyaDarsha AmavasyaHanuman Jayanti *Tamil,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),6662a7c3f996bb66f450375624a8c55b@ical.drikpanchang.com,,
"Pausha, Pratipada Shukla Paksha, 1940 Vilambi Shaka Samvata",01/06/19,01/07/19,7:17 AM,6:11 PM,Moonrise - No Moonrise,Moonset - 06:36 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Raviwara,Paksha - Shukla Paksha,Tithi - Pratipada ,Full Night,None,None,Nakshatra - Purva Ashadha ,5:44 PM,None,None,Yoga - Vyaghata ,2:51 AM,None,None,Karana - Kinstughna ,8:06 PM,Karana - Bava ,Full Night,None,None,Sunsign - Dhanu,"Moonsign - Dhanu upto 12:26 AM, Jan 07",Rahu Kalam - 04:50 PM to 06:11 PM,Gulikai Kalam - 03:28 PM to 04:50 PM,Yamaganda - 12:44 PM to 02:06 PM,Abhijit - 12:22 PM to 01:06 PM,Dur Muhurtam - 04:44 PM to 05:28 PM,"Amrit Kalam - 12:25 PM to 02:11 PMVarjyam - 02:41 AM, Jan 07 to 04:29 AM, Jan 07",Day Festivals and Events - Surya Grahan *AnshikaPausha Begins *South,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),cb73d3494e847c02be19283a670b7983@ical.drikpanchang.com,,,
"Pausha, Pratipada Shukla Paksha, 1940 Vilambi Shaka Samvata",01/07/19,01/08/19,7:17 AM,6:12 PM,Moonrise - 08:03 AM,Moonset - 07:26 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Somawara,Paksha - Shukla Paksha,Tithi - Pratipada ,9:18 AM,None,None,Nakshatra - Uttara Ashadha ,8:37 PM,None,None,Yoga - Harshana ,3:40 AM,None,None,Karana - Bava ,9:18 AM,Karana - Balava ,10:35 PM,None,None,Sunsign - Dhanu,Moonsign - Makara,Rahu Kalam - 08:39 AM to 10:01 AM,Gulikai Kalam - 02:07 PM to 03:28 PM,Yamaganda - 11:23 AM to 12:45 PM,Abhijit - 12:23 PM to 01:06 PM,Dur Muhurtam - 01:06 PM to 01:50 PM,Dur Muhurtam - 03:17 PM to 04:01 PM,"Amrit Kalam - 01:27 PM to 03:14 PMVarjyam - 01:07 AM, Jan 08 to 02:56 AM, Jan 08",Day Festivals and Events - Chandra Darshana,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),1fbb427732fa1ee407656f6c2c12c0d1@ical.drikpanchang.com,,
"Pausha, Dwitiya Shukla Paksha, 1940 Vilambi Shaka Samvata",01/08/19,01/09/19,7:18 AM,6:13 PM,Moonrise - 08:48 AM,Moonset - 08:17 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Mangalawara,Paksha - Shukla Paksha,Tithi - Dwitiya ,11:54 AM,None,None,Nakshatra - Shravana ,11:41 PM,None,None,Yoga - Vajra ,4:37 AM,None,None,Karana - Kaulava ,11:54 AM,Karana - Taitila ,1:16 AM,None,None,Sunsign - Dhanu,Moonsign - Makara,Rahu Kalam - 03:29 PM to 04:51 PM,Gulikai Kalam - 12:45 PM to 02:07 PM,Yamaganda - 10:01 AM to 11:23 AM,Abhijit - 12:23 PM to 01:07 PM,Dur Muhurtam - 09:29 AM to 10:12 AM,"Dur Muhurtam - 11:27 PM to 12:19 AM, Jan 09","Amrit Kalam - 11:57 AM to 01:46 PMVarjyam - 04:13 AM, Jan 09 to 06:01 AM, Jan 09",from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),75bb8f22bcd796fa865d564ea767ed85@ical.drikpanchang.com,,,
"Pausha, Tritiya Shukla Paksha, 1940 Vilambi Shaka Samvata",01/09/19,01/10/19,7:18 AM,6:13 PM,Moonrise - 09:30 AM,Moonset - 09:07 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Budhawara,Paksha - Shukla Paksha,Tithi - Tritiya ,2:38 PM,None,None,Nakshatra - Dhanishtha ,2:50 AM,None,None,Yoga - Siddhi ,5:36 AM,None,None,Karana - Garaja ,2:38 PM,Karana - Vanija ,4:01 AM,None,None,Sunsign - Dhanu,"Moonsign - Makara upto 01:16 PM""",Rahu Kalam - 12:46 PM to 02:07 PM,Gulikai Kalam - 11:24 AM to 12:46 PM,Yamaganda - 08:40 AM to 10:02 AM,Abhijit - None,Dur Muhurtam - 12:24 PMto 01:07 PM,Amrit Kalam - 03:05 PM to 04:53 PM,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),278289d621c95c7e2133ac5bf9e4d0bc@ical.drikpanchang.com,,,,,
"Pausha, Chaturthi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/10/19,01/11/19,7:18 AM,6:14 PM,Moonrise - 10:09 AM,Moonset - 09:56 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Guruwara,Paksha - Shukla Paksha,Tithi - Chaturthi ,5:22 PM,None,None,Nakshatra - Shatabhisha ,5:55 AM,None,None,Yoga - Vyatipata ,6:31 AM,None,None,Karana - Vishti ,5:22 PM,Karana - Bava ,6:40 AM,None,None,Sunsign - Dhanu,"Moonsign - Kumbha""",Rahu Kalam - 02:08 PM to 03:30 PM,Gulikai Kalam - 10:02 AM to 11:24 AM,Yamaganda - 07:18 AM to 08:40 AM,Abhijit - 12:24 PM to 01:08 PM,Dur Muhurtam - 10:57 AM to 11:40 AM,Dur Muhurtam - 03:19 PM to 04:03 PM,Amrit Kalam - 09:48 PM to 11:36 PMVarjyam - 10:58 AM to 12:46 PM,Day Festivals and Events- Vinayaka Chaturthi,"from www.drikpanchang.com ,,Mumbai"," India""",,,Drik Panchang - 2019 (1),a00be467ee85bdefcc9405d74909a432@ical.drikpanchang.com,,,
