SUMMARY,DTSTART,DTEND,SUNRISE,SUNSET,MOONRISE,MOONSET,MONTH,WEEKDAY,PAKSHA,TITHI,TITHIEND,TITHI2,TITHI2END,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,SUNSIGN,MOONSIGN,RAHU KALAM,GULIKAI KALAM,YAMAGANDA
"Margashirsha, Ekadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/01/2019,01/02/2019,07:16 AM,06:08 PM," 03:46 AM, Jan 02", 02:43 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha, Mangalawara, Krishna Paksha, Ekadashi ,01:28 AM,None,None, Swati ,08:45 AM,None,None, Dhriti ,02:43 AM,None,None, Bava ,01:18 PM, Balava ,01:28 AM,None,None, Dhanu," Tula upto 03:24 AM, Jan 02",Rahu Kalam - 03:25 PM to 04:47 PM,Gulikai Kalam - 12:42 PM to 02:04 PM,Yamaganda - 09:59 AM to 11:20 AM
"Margashirsha, Dwadashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/02/2019,01/03/2019,07:16 AM,06:09 PM," 04:40 AM, Jan 03", 03:26 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha, Budhawara, Krishna Paksha, Dwadashi ,02:10 AM,None,None, Vishakha ,09:40 AM,None,None, Shula ,02:05 AM,None,None, Kaulava ,01:46 PM, Taitila ,02:10 AM,None,None, Dhanu, Vrishchika,Rahu Kalam - 12:42 PM to 02:04 PM,Gulikai Kalam - 11:21 AM to 12:42 PM,Yamaganda - 08:38 AM to 09:59 AM
"Margashirsha, Trayodashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/03/2019,01/04/2019,07:16 AM,06:09 PM," 05:33 AM, Jan 04", 04:10 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha, Guruwara, Krishna Paksha, Trayodashi ,03:21 AM,None,None, Anuradha ,11:04 AM,None,None, Ganda ,01:49 AM,None,None, Garaja ,02:42 PM, Vanija ,03:21 AM,None,None, Dhanu, Vrishchika,Rahu Kalam - 02:05 PM to 03:26 PM,Gulikai Kalam - 10:00 AM to 11:21 AM,Yamaganda - 07:16 AM to 08:38 AM
"Margashirsha, Chaturdashi Krishna Paksha, 1940 Vilambi Shaka Samvata",01/04/2019,01/05/2019,07:17 AM,06:10 PM," 06:25 AM, Jan 05", 04:57 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha, Shukrawara, Krishna Paksha, Chaturdashi ,04:58 AM,None,None, Jyeshtha ,12:54 PM,None,None, Vriddhi ,01:52 AM,None,None, Vishti ,04:06 PM, Shakuni ,04:58 AM,None,None, Dhanu,"Vrishchika upto 12:54 PM""",Rahu Kalam - 11:22 AM to 12:43 PM,Gulikai Kalam - 08:38 AM to 10:00 AM,Yamaganda - 03:27 PM to 04:48 PM
"Margashirsha, Amavasya Krishna Paksha, 1940 Vilambi Shaka Samvata",01/05/2019,01/06/2019,07:17 AM,06:11 PM," 07:15 AM, Jan 06", 05:46 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - MargashirshaPurnimanta Month - Pausha, Shaniwara, Krishna Paksha, Amavasya ,06:58 AM,None,None, Mula ,03:08 PM,None,None, Dhruva ,02:14 AM,None,None, Chatushpada ,05:55 PM, Nagava ,06:58 AM,None,None, Dhanu, Dhanu,Rahu Kalam - 10:00 AM to 11:22 AM,Gulikai Kalam - 07:17 AM to 08:39 AM,Yamaganda - 02:06 PM to 03:27 PM
"Pausha, Pratipada Shukla Paksha, 1940 Vilambi Shaka Samvata",01/06/2019,01/07/2019,07:17 AM,06:11 PM, No Moonrise, 06:36 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha, Raviwara, Shukla Paksha, Pratipada ,Full Night,None,None, Purva Ashadha ,05:44 PM,None,None, Vyaghata ,02:51 AM,None,None, Kinstughna ,08:06 PM, Bava ,Full Night,None,None, Dhanu," Dhanu upto 12:26 AM, Jan 07",Rahu Kalam - 04:50 PM to 06:11 PM,Gulikai Kalam - 03:28 PM to 04:50 PM,Yamaganda - 12:44 PM to 02:06 PM
"Pausha, Pratipada Shukla Paksha, 1940 Vilambi Shaka Samvata",01/07/2019,01/08/2019,07:17 AM,06:12 PM, 08:03 AM, 07:26 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha, Somawara, Shukla Paksha, Pratipada ,09:18 AM,None,None, Uttara Ashadha ,08:37 PM,None,None, Harshana ,03:40 AM,None,None, Bava ,09:18 AM, Balava ,10:35 PM,None,None, Dhanu, Makara,Rahu Kalam - 08:39 AM to 10:01 AM,Gulikai Kalam - 02:07 PM to 03:28 PM,Yamaganda - 11:23 AM to 12:45 PM
"Pausha, Dwitiya Shukla Paksha, 1940 Vilambi Shaka Samvata",01/08/2019,01/09/2019,07:18 AM,06:13 PM, 08:48 AM, 08:17 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha, Mangalawara, Shukla Paksha, Dwitiya ,11:54 AM,None,None, Shravana ,11:41 PM,None,None, Vajra ,04:37 AM,None,None, Kaulava ,11:54 AM, Taitila ,01:16 AM,None,None, Dhanu, Makara,Rahu Kalam - 03:29 PM to 04:51 PM,Gulikai Kalam - 12:45 PM to 02:07 PM,Yamaganda - 10:01 AM to 11:23 AM
"Pausha, Tritiya Shukla Paksha, 1940 Vilambi Shaka Samvata",01/09/2019,01/10/2019,07:18 AM,06:13 PM, 09:30 AM, 09:07 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha, Budhawara, Shukla Paksha, Tritiya ,02:38 PM,None,None, Dhanishtha ,02:50 AM,None,None, Siddhi ,05:36 AM,None,None, Garaja ,02:38 PM, Vanija ,04:01 AM,None,None, Dhanu," Makara upto 01:16 PM""",Rahu Kalam - 12:46 PM to 02:07 PM,Gulikai Kalam - 11:24 AM to 12:46 PM,Yamaganda - 08:40 AM to 10:02 AM
"Pausha, Chaturthi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/10/2019,01/11/2019,07:18 AM,06:14 PM, 10:09 AM, 09:56 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha, Guruwara, Shukla Paksha, Chaturthi ,05:22 PM,None,None, Shatabhisha ,05:55 AM,None,None, Vyatipata ,06:31 AM,None,None, Vishti ,05:22 PM, Bava ,06:40 AM,None,None, Dhanu," Kumbha""",Rahu Kalam - 02:08 PM to 03:30 PM,Gulikai Kalam - 10:02 AM to 11:24 AM,Yamaganda - 07:18 AM to 08:40 AM
