DATE,SID.TIME,SUN,SUN_P,MOON,MOON_P,MERCURY,MERCURY_P,VENUS,VENUS_P,MARS,MARS_P,JUPITER,JUPITER_P,SATURN,SATURN_P,URANUS,URANUS_P,NEPTUNE,NEPTUNE_P,PLUTO,PLUTO_P,NODE,NODE_P
01/01/2019,6:41:27,10 15,Makara,12 22,Vruschika,23 51,Dhanush,23 30,Vruschika,29 56,Meena,11 46,Dhanush,11 23,Makara,28 37,Mesha,14 05,Meena,20 36,Makara,27 34,CN
01/02/2019,6:45:23,11 16,Makara,25 14,Vruschika,25 19,Dhanush,24 29,Vruschika,00 36,Mesha,11 59,Dhanush,11 30,Makara,28 37,Mesha,14 06,Meena,20 38,Makara,27 31,CN
01/03/2019,6:49:20,12 18,Makara,07 53,Dhanush,26 48,Dhanush,25 28,Vruschika,01 17,Mesha,12 11,Dhanush,11 37,Makara,28 36,Mesha,14 08,Meena,20 40,Makara,27 28,CN
01/04/2019,6:53:16,13 19,Makara,20 19,Dhanush,28 17,Dhanush,26 28,Vruschika,01 57,Mesha,12 24,Dhanush,11 44,Makara,28 36,Mesha,14 09,Meena,20 42,Makara,27 24,CN
01/05/2019,6:57:13,14 20,Makara,02 34,Makara,29 46,Dhanush,27 29,Vruschika,02 38,Mesha,12 36,Dhanush,11 51,Makara,28 36,Mesha,14 10,Meena,20 44,Makara,27 21,CN
01/06/2019,7:01:09,15 21,Makara,14 40,Makara,01 16,Makara,28 30,Vruschika,03 18,Mesha,12 49,Dhanush,11 58,Makara,28 36,Mesha,14 12,Meena,20 46,Makara,27 18,CN
01/07/2019,7:05:06,16 22,Makara,26 38,Makara,02 47,Makara,29 31,Vruschika,03 58,Mesha,13 01,Dhanush,12 05,Makara,28 36,Mesha,14 13,Meena,20 48,Makara,27 15,CN
01/08/2019,7:09:02,17 24,Makara,08 30,Kumbha,04 18,Makara,00 33,Dhanush,04 39,Mesha,13 13,Dhanush,12 12,Makara,28 36,Mesha,14 14,Meena,20 50,Makara,27 12,CN
01/09/2019,7:12:59,18 25,Makara,20 18,Kumbha,05 49,Makara,01 35,Dhanush,05 19,Mesha,13 25,Dhanush,12 19,Makara,28 36,Mesha,14 16,Meena,20 52,Makara,27 09,CN
01/10/2019,7:16:56,19 26,Makara,02 05,Meena,07 21,Makara,02 37,Dhanush,05 60,Mesha,13 37,Dhanush,12 26,Makara,28 36,Mesha,14 17,Meena,20 54,Makara,27 05,CN
01/11/2019,7:20:52,20 27,Makara,13 55,Meena,08 53,Makara,03 40,Dhanush,06 40,Mesha,13 50,Dhanush,12 33,Makara,28 36,Mesha,14 19,Meena,20 56,Makara,27 02,CN
01/12/2019,7:24:49,21 28,Makara,25 50,Meena,10 26,Makara,04 43,Dhanush,07 21,Mesha,14 02,Dhanush,12 41,Makara,28 37,Mesha,14 20,Meena,20 58,Makara,26 59,CN
01/13/2019,7:28:45,22 29,Makara,07 55,Mesha,11 59,Makara,05 46,Dhanush,08 02,Mesha,14 13,Dhanush,12 48,Makara,28 37,Mesha,14 22,Meena,20 60,Makara,26 56,CN
01/14/2019,7:32:42,23 31,Makara,20 16,Mesha,13 32,Makara,06 50,Dhanush,08 42,Mesha,14 25,Dhanush,12 55,Makara,28 37,Mesha,14 24,Meena,21 02,Makara,26 53,CN
