TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,
Tithi - Ekadashi ,1:28 AM,Tithi - None,None,Nakshatra - Swati ,08:45AM,Nakshatra - None,None,Yoga - Dhriti ,2:43 AM,Yoga - None,None,Karana - Bava ,1:18 PM,Karana - Balava ,1:28 AM,Karana - None,None,
Tithi - Dwadashi ,2:10 AM,Tithi - None,None,Nakshatra - Vishakha ,9:40 AM,Nakshatra - None,None,Yoga - Shula ,2:05 AM,Yoga - None,None,Karana - Kaulava ,1:46 PM,Karana - Taitila ,2:10 AM,Karana - None,None,
Tithi - Trayodashi ,3:21 AM,Tithi - None,None,Nakshatra - Anuradha ,11:04 AM,Nakshatra - None,None,Yoga - Ganda ,1:49 AM,Yoga - None,None,Karana - Garaja ,2:42 PM,Karana - Vanija ,3:21 AM,Karana - None,None,
Tithi - Chaturdashi ,4:58 AM,Tithi - None,None,Nakshatra - Jyeshtha ,12:54 PM,Nakshatra - None,None,Yoga - Vriddhi ,1:52 AM,Yoga - None,None,Karana - Vishti ,4:06 PM,Karana - Shakuni ,4:58 AM,Karana - None,None,
Tithi - Amavasya ,6:58 AM,Tithi - None,None,Nakshatra - Mula ,3:08 PM,Nakshatra - None,None,Yoga - Dhruva ,2:14 AM,Yoga - None,None,Karana - Chatushpada ,5:55 PM,Karana - Nagava ,6:58 AM,Karana - None,None,
Tithi - Pratipada ,Full Night,Tithi - None,None,Nakshatra - Purva Ashadha ,5:44 PM,Nakshatra - None,None,Yoga - Vyaghata ,2:51 AM,Yoga - None,None,Karana - Kinstughna ,8:06 PM,Karana - Bava ,Full Night,Karana - None,None,
Tithi - Pratipada ,9:18 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,8:37 PM,Nakshatra - None,None,Yoga - Harshana ,3:40 AM,Yoga - None,None,Karana - Bava ,9:18 AM,Karana - Balava ,10:35 PM,Karana - None,None,
Tithi - Dwitiya ,11:54 AM,Tithi - None,None,Nakshatra - Shravana ,11:41 PM,Nakshatra - None,None,Yoga - Vajra ,4:37 AM,Yoga - None,None,Karana - Kaulava ,11:54 AM,Karana - Taitila ,1:16 AM,Karana - None,None,
Tithi - Tritiya ,2:38 PM,Tithi - None,None,Nakshatra - Dhanishtha ,2:50 AM,Nakshatra - None,None,Yoga - Siddhi ,5:36 AM,Yoga - None,None,Karana - Garaja ,2:38 PM,Karana - Vanija ,4:01 AM,Karana - None,None,
Tithi - Chaturthi ,5:22 PM,Tithi - None,None,Nakshatra - Shatabhisha ,5:55 AM,Nakshatra - None,None,Yoga - Vyatipata ,6:31 AM,Yoga - None,None,Karana - Vishti ,5:22 PM,Karana - Bava ,6:40 AM,Karana - None,None,
Tithi - Panchami ,7:54 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,Full Night,Nakshatra - None,None,Yoga - Varigha ,7:14 AM,Yoga - None,None,Karana - Balava ,7:54 PM,Karana - Kaulava ,Full Night,Karana - None,None,
Tithi - Shashthi ,10:05 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,8:44 AM,Nakshatra - None,None,Yoga - Parigha ,Full Night,Yoga - None,None,Karana - Kaulava ,9:03 AM,Karana - Taitila upto1,12:05 PM,Karana - None,None,
Tithi - Saptami ,11:42 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,11:07 AM,Nakshatra - None,None,Yoga - Parigha ,7:37 AM,Yoga - None,None,Karana - Garaja ,10:58 AM,Karana - Vanija ,11:42 PM,Karana - None,None,
Tithi - Ashtami ,12:37 AM,Tithi - None,None,Nakshatra - Revati ,12:53 PM,Nakshatra - None,None,Yoga - Shiva ,7:32 AM,Yoga - Siddha ,6:54 AM,Karana - Vishti ,12:15 PM,Karana - Bava ,12:37 AM,Karana - None,None,
Tithi - Navami ,12:45 AM,Tithi - None,None,Nakshatra - Ashwini ,1:57 PM,Nakshatra - None,None,Yoga - Sadhya ,5:39 AM,Yoga - None,None,Karana - Balava ,12:47 PM,Karana - Kaulava ,12:45 AM,Karana - None,None,
